"Data Source","World Development Indicators",

"Last Updated Date","2016-06-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.3812596351","16586.1922970903","17927.4120263906","19081.570288414","19356.4208651472","20619.5658496388","20671.545738502","20433.6541088167","20834.9397101237","22566.6821576324","23302.8319880055","24015.4206122701","25921.5382341406","27549.8894224976","24640.4212441218","24289.1415161326","25353.7875446441","","","","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.09146240241","3497.91031534907","4217.40291461428","5343.11832561333","6320.97187804694","7168.39965347532","7151.57048148726","7751.1672996784","9127.60886938623","11819.6492070738","12377.7159819699","10372.3265550741","9611.23968420899","8023.34642172763","7729.32411535165","7775.02693685023","10362.1668559332","12615.0511216815","14305.2085377854","15166.9138405885","18876.729351928","19530.8435047204","20541.7738959473","16508.8752202349","16226.971079738","18460.007428295","19038.7988311469","18405.3200974733","18969.9779859045","19323.8925471569","21432.9600712136","21897.6629394768","24175.3727542522","31742.9925847537","37235.4500323146","39990.3304085679","42417.2291456984","47253.5297963111","46735.9995745016","42701.447136255","39639.386021211","41630.0525792977","39666.3692147448","42806.5225532934","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7876807071726","59.8900369372405","58.5059950140526","78.8025868555084","82.2313945581436","101.321627084019","137.946782875667","161.3847017598","129.562318448447","129.857378169357","157.258460767554","160.443151792961","136.175611348868","144.173944406858","175.027097741097","188.085136087016","199.164809324072","226.196426673541","249.573709822237","278.390625171824","275.649828132249","267.662423622744","","","","","","","","","","","","","","","","","","","","119.899037111574","192.153528278789","203.651040923182","224.914712193371","257.175794656273","280.245644106914","380.400955186598","384.131681276838","458.955781585831","569.940728793286","622.379654358451","690.842629014956","666.795051096452","633.56924695192","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","685.925974354129","666.86871899694","649.881309005116","633.907333685506","926.600626625954","901.107601833462","1265.62730944985","872.767663999739","825.698135137779","823.885543708241","380.87192310954","560.675516594828","554.252232901028","454.296549518868","421.376777333568","606.272292244341","574.19416113737","948.844399572653","1067.17891615385","1361.74422528578","2063.92220212918","2825.07349024961","3402.14598003347","4462.12535085577","3565.18158850907","3928.82451354363","5053.7386489293","5531.77629869671","5900.52956989893","","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711317786982","218.492165902633","380.527371084275","619.065163447139","760.559375774093","1046.35851058923","749.584648972451","865.302161845068","1098.42546338936","1175.78898073398","1326.97033929337","1453.64277660853","1890.68155743544","2416.5882350701","2709.14293056201","3005.0129033756","3603.01368520281","4370.53964653156","4114.13654481972","4094.35883203824","4437.81199900225","4247.48543681502","4411.25824056074","4564.39033869288","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","220.504376659316","236.77224313931","254.260310678288","287.519299339479","333.250492525248","412.184526593587","768.015591547647","824.532393627805","995.024435558793","1112.09084442478","1189.46780348713","1552.85367448066","2046.57644461227","2041.29270696205","1843.86735644208","1677.55354265182","1650.54581085863","1580.29526845394","1460.27030259213","1535.54496527285","1467.56868997506","1497.32612541046","2000.00380704849","1914.3232544694","2012.98355790972","1983.82191432417","1978.178409989","2059.88178230069","2224.03151106089","2307.47318660472","2178.58037021728","2323.32871638421","2597.36374751858","2502.49416347526","2469.67811105312","2728.40396146891","3130.37706755706","3763.07128613493","4358.29728583798","4985.82210424096","6171.03128501145","5209.14491570072","5955.06475638466","6911.56685935063","7502.7284361151","7536.47780185863","7446.76691996838","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27708.7195506655","30886.5717699381","34407.9812874137","28735.8033334866","33673.4193402514","42878.854380409","45131.3356812396","40244.8374519623","35135.8686387129","32655.3718742793","30067.1341631547","23727.6987976109","23953.3405440863","22476.971471363","24218.5527454209","27989.301267604","26945.6591464759","26864.1881075461","26141.3306464453","26495.8215612079","27973.7428158486","29813.3723096431","30378.5453428093","27681.310528386","29278.7686208249","34207.5389498903","32105.6478664635","32355.4095972427","34294.8939976005","37179.6818919642","40298.5242178562","42950.1005841305","42913.7840342254","45720.0178979792","32905.0538494054","34341.9112921486","39901.2209155518","41712.1242109135","42831.0891322689","43962.7136932011","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.076988780167","1166.31755895322","1272.01055309131","1266.3450445928","1057.75575372189","1136.51807652566","1324.08265425217","1317.48753519866","1366.35455826863","1401.4877379927","2083.97221812887","2824.65102533488","2011.68904032488","1932.59070908312","2112.50101617935","2129.31371505249","2501.48111430387","2738.28462575754","2756.39678818613","2907.75742643498","3530.13166329232","2643.36913309587","2909.51680162029","3595.08613124574","3546.71882015564","3969.32766134127","2375.3392499715","4318.77456755511","5715.50405220247","6798.02716671068","6940.35137539023","7449.48060533628","7373.42740288005","7683.57384790824","8172.66523534306","8248.76471990265","7736.37257792733","7669.27370858434","7170.68969819358","2579.20163821036","3330.40982056457","4696.07011088673","5640.84850283585","6639.90943461746","8239.13716134639","9999.09351693522","9231.38290041999","11198.6425666859","13392.9169036445","14357.4115893903","14443.0656513599","12509.5311180615","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.680689996499","589.002948223927","368.916836793393","356.507351442189","399.751202522265","455.550276086151","503.231969620213","522.522072040184","608.336648730809","596.505996304047","621.424826318947","692.301630888896","779.829626131555","924.464009817761","1181.9684454224","1625.40776912682","2126.61866107184","3080.97095943572","3919.97547381061","2915.5839059087","3124.78401786195","3417.17183599915","3565.5175749254","3716.82892254464","3873.53356580682","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
